fecha;hora;red;serie;tema;texto;imagen;enlace
2026-08-01;12:30;instagram;NORMAS;iso-9001;"💙 ¿Qué es ISO 9001 y para qué sirve de verdad?

Implantamos y mantenemos tu sistema de gestión de calidad ISO 9001 con documentación a medida, sin burocracia innecesaria, para gestionar bien y certificar sin fricción.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Calidad #ISO9001 #Excelencia #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/iso-9001.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-01-iso-9001
2026-08-02;12:30;instagram;EFQM;efqm-modelo-2025;"💙 El Modelo EFQM 2025, explicado sin humo.

El Modelo EFQM 2025: La brújula de la transformación organizacional. El Modelo EFQM 2025 no es un premio, es un marco para transformar la organización con criterio.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-modelo-2025.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-02-efqm-modelo-2025
2026-08-03;12:30;instagram;NORMAS;efqm;"💙 Modelo EFQM: Excelencia empresarial con el Modelo EFQM 2025. Y esto es lo que gana tu organización.

Te acompañamos en la autoevaluación, el sello y la transformación con el Modelo EFQM 2025, incluida formación específica para tu equipo directivo.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Calidad #ISO9001 #Excelencia #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-03-efqm
2026-08-04;12:30;instagram;EFQM;efqm-direccion;"💙 Dimensión Dirección: lo que aporta de verdad.

Dimensión Dirección. Trabajar con el Modelo EFQM te da una foto honesta de tu gestión y una hoja de ruta priorizada — el sello es la consecuencia.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-direccion.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-04-efqm-direccion
2026-08-05;12:30;instagram;NORMAS;madrid-excelente;"💙 El error más común al implantar Madrid Excelente (y cómo evitarlo).

Copiar documentación de otra empresa y esperar que cuele. El sistema debe nacer de TU actividad real, o se convierte en burocracia muerta.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Calidad #ISO9001 #Excelencia #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/madrid-excelente.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-05-madrid-excelente
2026-08-06;12:30;instagram;EFQM;efqm-ejecucion;"💙 Dimensión Ejecución: el fallo que vemos una y otra vez.

Dimensión Ejecución: el error habitual es tratarlo como un trámite documental. EFQM se trabaja desde la dirección, con datos y con las personas.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-ejecucion.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-06-efqm-ejecucion
2026-08-07;12:30;instagram;NORMAS;iso-9004;"💙 ¿Es ISO 9004 para tu organización? Señales de que sí.

Si tus clientes (o la Administración) empiezan a pedírtelo, si has crecido y ""todo está en la cabeza de dos personas"", o si quieres diferenciarte en licitaciones: sí, es para ti.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Calidad #ISO9001 #Excelencia #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/iso-9004.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-07-iso-9004
2026-08-08;12:30;instagram;EFQM;efqm-resultados;"💙 ¿Te toca ya trabajar con el Modelo EFQM?

Dimensión Resultados. Si tu organización ya certifica ISO y quiere dar el salto de ""cumplir"" a ""sobresalir"", el Modelo EFQM es el siguiente paso natural.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-resultados.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-08-efqm-resultados
2026-08-09;12:30;instagram;NORMAS;une-93200;"💙 UNE 93200: el primer paso es más simple de lo que crees.

Una conversación de diagnóstico: entender tu punto de partida y dimensionar el proyecto con plazos realistas. Sin compromiso.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#Calidad #ISO9001 #Excelencia #TuConsultor #SistemasDeGestión #GestiónConCorazón";https://www.tuconsultor.com/social-img/une-93200.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-09-une-93200
2026-08-10;12:30;instagram;EFQM;efqm-criterio1;"💙 Propósito, visión y estrategia: por dónde empezar.

Propósito, visión y estrategia: Criterio 1 del Modelo EFQM. El primer paso es un Informe de GAP: medir la distancia entre tu gestión actual y el modelo, y decidir con datos.

📌 Artículo completo: enlace en bio.
❤️ Gestión con corazón desde 2006.

#EFQM #ModeloEFQM #Excelencia #TuConsultor #GestiónConCorazón";https://www.tuconsultor.com/social-img/efqm-criterio1.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-10-efqm-criterio1
