fecha;hora;red;serie;tema;texto;imagen;enlace
2026-08-01;17:00;x;NORMAS;iso-9001;¿Qué es ISO 9001 y para qué sirve de verdad? https://www.tuconsultor.com/blog/post.html?p=2026-08-01-iso-9001 #Calidad #ISO9001;https://www.tuconsultor.com/social-img/iso-9001.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-01-iso-9001
2026-08-02;17:00;x;EFQM;efqm-modelo-2025;El Modelo EFQM 2025, explicado sin humo. https://www.tuconsultor.com/blog/post.html?p=2026-08-02-efqm-modelo-2025 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-modelo-2025.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-02-efqm-modelo-2025
2026-08-03;17:00;x;NORMAS;efqm;Modelo EFQM: Excelencia empresarial con el Modelo EFQM 2025. Y esto es lo que gana tu organización. https://www.tuconsultor.com/blog/post.html?p=2026-08-03-efqm #Calidad #ISO9001;https://www.tuconsultor.com/social-img/efqm.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-03-efqm
2026-08-04;17:00;x;EFQM;efqm-direccion;Dimensión Dirección: lo que aporta de verdad. https://www.tuconsultor.com/blog/post.html?p=2026-08-04-efqm-direccion #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-direccion.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-04-efqm-direccion
2026-08-05;17:00;x;NORMAS;madrid-excelente;El error más común al implantar Madrid Excelente (y cómo evitarlo). https://www.tuconsultor.com/blog/post.html?p=2026-08-05-madrid-excelente #Calidad #ISO9001;https://www.tuconsultor.com/social-img/madrid-excelente.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-05-madrid-excelente
2026-08-06;17:00;x;EFQM;efqm-ejecucion;Dimensión Ejecución: el fallo que vemos una y otra vez. https://www.tuconsultor.com/blog/post.html?p=2026-08-06-efqm-ejecucion #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-ejecucion.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-06-efqm-ejecucion
2026-08-07;17:00;x;NORMAS;iso-9004;¿Es ISO 9004 para tu organización? Señales de que sí. https://www.tuconsultor.com/blog/post.html?p=2026-08-07-iso-9004 #Calidad #ISO9001;https://www.tuconsultor.com/social-img/iso-9004.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-07-iso-9004
2026-08-08;17:00;x;EFQM;efqm-resultados;¿Te toca ya trabajar con el Modelo EFQM? https://www.tuconsultor.com/blog/post.html?p=2026-08-08-efqm-resultados #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-resultados.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-08-efqm-resultados
2026-08-09;17:00;x;NORMAS;une-93200;UNE 93200: el primer paso es más simple de lo que crees. https://www.tuconsultor.com/blog/post.html?p=2026-08-09-une-93200 #Calidad #ISO9001;https://www.tuconsultor.com/social-img/une-93200.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-09-une-93200
2026-08-10;17:00;x;EFQM;efqm-criterio1;Propósito, visión y estrategia: por dónde empezar. https://www.tuconsultor.com/blog/post.html?p=2026-08-10-efqm-criterio1 #EFQM #ModeloEFQM;https://www.tuconsultor.com/social-img/efqm-criterio1.png;https://www.tuconsultor.com/blog/post.html?p=2026-08-10-efqm-criterio1
